YEAR,DECJAN,JANFEB,FEBMAR,MARAPR,APRMAY,MAYJUN,JUNJUL,JULAUG,AUGSEP,SEPOCT,OCTNOV,NOVDEC
1950,-1.062,-1.163,-1.312,-1.098,-1.445,-1.376,-1.267,-1.030,-0.597,-0.433,-1.165,-1.261
1951,-1.070,-1.183,-1.204,-0.544,-0.374,0.319,0.676,0.842,0.773,0.736,0.703,0.478
1952,0.419,0.117,0.047,0.198,-0.307,-0.722,-0.307,-0.358,0.347,0.275,-0.349,-0.124
1953,0.030,0.377,0.257,0.668,0.773,0.226,0.379,0.228,0.527,0.093,0.075,0.324
1954,-0.051,-0.048,0.147,-0.634,-1.478,-1.528,-1.356,-1.446,-1.138,-1.348,-1.140,-1.113
1955,-0.762,-0.697,-1.147,-1.662,-1.663,-2.209,-1.977,-2.043,-1.803,-1.753,-1.841,-1.877
1956,-1.437,-1.303,-1.399,-1.248,-1.316,-1.490,-1.245,-1.106,-1.327,-1.486,-1.038,-1.022
1957,-0.941,-0.372,0.101,0.372,0.826,0.753,0.924,1.157,1.158,1.083,1.148,1.248
1958,1.472,1.439,1.320,0.987,0.685,0.841,0.700,0.442,0.209,0.213,0.486,0.671
1959,0.548,0.796,0.495,0.192,-0.026,-0.036,-0.112,0.130,0.126,-0.060,-0.170,-0.261
1960,-0.299,-0.274,-0.094,-0.005,-0.321,-0.254,-0.318,-0.233,-0.439,-0.355,-0.331,-0.417
1961,-0.163,-0.257,-0.088,0.004,-0.304,-0.153,-0.210,-0.283,-0.271,-0.539,-0.436,-0.634
1962,-1.087,-0.988,-0.712,-1.068,-0.894,-0.839,-0.682,-0.523,-0.528,-0.670,-0.623,-0.505
1963,-0.739,-0.863,-0.690,-0.768,-0.480,-0.112,0.403,0.611,0.778,0.814,0.844,0.744
1964,0.874,0.468,-0.269,-0.562,-1.249,-1.113,-1.386,-1.476,-1.284,-1.225,-1.239,-0.936
1965,-0.557,-0.353,-0.278,0.063,0.474,0.895,1.366,1.452,1.430,1.219,1.362,1.252
1966,1.306,1.170,0.681,0.506,-0.178,-0.169,-0.116,0.171,-0.060,-0.044,0.004,-0.199
1967,-0.473,-0.919,-1.066,-1.037,-0.453,-0.217,-0.489,-0.376,-0.601,-0.683,-0.426,-0.378
1968,-0.619,-0.749,-0.641,-0.959,-1.106,-0.777,-0.503,-0.087,0.244,0.435,0.586,0.347
1969,0.664,0.833,0.453,0.616,0.681,0.823,0.490,0.232,0.200,0.511,0.666,0.398
1970,0.372,0.415,0.220,0.000,-0.097,-0.608,-1.053,-0.995,-1.226,-1.088,-1.084,-1.223
1971,-1.223,-1.528,-1.817,-1.870,-1.444,-1.392,-1.206,-1.201,-1.439,-1.421,-1.329,-0.993
1972,-0.596,-0.424,-0.269,-0.171,0.428,0.995,1.824,1.828,1.574,1.643,1.726,1.766
1973,1.726,1.500,0.860,0.473,-0.096,-0.728,-1.057,-1.323,-1.712,-1.667,-1.503,-1.848
1974,-1.939,-1.793,-1.767,-1.643,-1.061,-0.663,-0.751,-0.649,-0.599,-1.052,-1.251,-0.905
1975,-0.538,-0.600,-0.879,-0.959,-0.841,-1.115,-1.498,-1.704,-1.853,-1.987,-1.773,-1.757
1976,-1.610,-1.392,-1.234,-1.180,-0.486,0.306,0.634,0.676,1.064,0.946,0.493,0.550
1977,0.521,0.273,0.139,0.545,0.318,0.443,0.888,0.706,0.824,0.986,0.975,0.860
1978,0.773,0.899,0.936,0.191,-0.381,-0.575,-0.421,-0.182,-0.364,-0.020,0.186,0.388
