STATION,DATE,PRCP,ACMH,ACSH,PSUN,TSUN,TMAX,TMIN,AWND
GHCND:USW00023160,19460601,0,-9999,-9999,-9999,-9999,350,161,-9999
GHCND:USW00023160,19460602,0,-9999,-9999,-9999,-9999,367,178,-9999
GHCND:USW00023160,19460603,0,-9999,-9999,-9999,-9999,400,183,-9999
GHCND:USW00023160,19460604,0,-9999,-9999,-9999,-9999,417,200,-9999
GHCND:USW00023160,19460605,0,-9999,-9999,-9999,-9999,406,217,-9999
GHCND:USW00023160,19460606,0,-9999,-9999,-9999,-9999,394,211,-9999
GHCND:USW00023160,19460607,0,-9999,-9999,-9999,-9999,389,200,-9999
GHCND:USW00023160,19460608,0,-9999,-9999,-9999,-9999,389,194,-9999
GHCND:USW00023160,19460609,0,-9999,-9999,-9999,-9999,383,183,-9999
GHCND:USW00023160,19460610,0,-9999,-9999,-9999,-9999,394,183,-9999
GHCND:USW00023160,19460611,0,-9999,-9999,-9999,-9999,383,200,-9999
GHCND:USW00023160,19460612,0,-9999,-9999,-9999,-9999,394,206,-9999
GHCND:USW00023160,19460613,0,-9999,-9999,-9999,-9999,400,206,-9999
GHCND:USW00023160,19460614,0,-9999,-9999,-9999,-9999,406,228,-9999
GHCND:USW00023160,19460615,0,-9999,-9999,-9999,-9999,406,250,-9999
GHCND:USW00023160,19460616,10,-9999,-9999,-9999,-9999,406,239,-9999
GHCND:USW00023160,19460617,0,-9999,-9999,-9999,-9999,400,244,-9999
GHCND:USW00023160,19460618,0,-9999,-9999,-9999,-9999,383,211,-9999
GHCND:USW00023160,19460619,0,-9999,-9999,-9999,-9999,378,206,-9999
GHCND:USW00023160,19460620,0,-9999,-9999,-9999,-9999,389,183,-9999
GHCND:USW00023160,19460621,0,-9999,-9999,-9999,-9999,389,200,-9999
GHCND:USW00023160,19460622,0,-9999,-9999,-9999,-9999,378,194,-9999
GHCND:USW00023160,19460623,0,-9999,-9999,-9999,-9999,378,228,-9999
GHCND:USW00023160,19460624,0,-9999,-9999,-9999,-9999,378,211,-9999
GHCND:USW00023160,19460625,0,-9999,-9999,-9999,-9999,383,217,-9999
GHCND:USW00023160,19460626,0,-9999,-9999,-9999,-9999,400,217,-9999
GHCND:USW00023160,19460627,0,-9999,-9999,-9999,-9999,383,194,-9999
GHCND:USW00023160,19460628,0,-9999,-9999,-9999,-9999,389,178,-9999
GHCND:USW00023160,19460629,0,-9999,-9999,-9999,-9999,389,194,-9999
GHCND:USW00023160,19460630,0,-9999,-9999,-9999,-9999,394,206,-9999
GHCND:USW00023160,19460701,0,-9999,-9999,-9999,-9999,406,189,-9999
GHCND:USW00023160,19460702,0,-9999,-9999,-9999,-9999,378,244,-9999
GHCND:USW00023160,19460703,18,-9999,-9999,-9999,-9999,372,211,-9999
GHCND:USW00023160,19460704,5,-9999,-9999,-9999,-9999,356,217,-9999
GHCND:USW00023160,19460705,0,-9999,-9999,-9999,-9999,356,244,-9999
GHCND:USW00023160,19460706,0,-9999,-9999,-9999,-9999,378,233,-9999
GHCND:USW00023160,19460707,0,-9999,-9999,-9999,-9999,389,228,-9999
GHCND:USW00023160,19460708,0,-9999,-9999,-9999,-9999,383,250,-9999
GHCND:USW00023160,19460709,0,-9999,-9999,-9999,-9999,356,267,-9999
GHCND:USW00023160,19460710,0,-9999,-9999,-9999,-9999,339,244,-9999
GHCND:USW00023160,19460711,23,-9999,-9999,-9999,-9999,333,250,-9999
GHCND:USW00023160,19460712,0,-9999,-9999,-9999,-9999,367,233,-9999
GHCND:USW00023160,19460713,30,-9999,-9999,-9999,-9999,372,228,-9999
GHCND:USW00023160,19460714,0,-9999,-9999,-9999,-9999,383,206,-9999
GHCND:USW00023160,19460715,0,-9999,-9999,-9999,-9999,400,250,-9999
GHCND:USW00023160,19460716,41,-9999,-9999,-9999,-9999,400,239,-9999
GHCND:USW00023160,19460717,213,-9999,-9999,-9999,-9999,361,194,-9999
GHCND:USW00023160,19460718,53,-9999,-9999,-9999,-9999,328,211,-9999
GHCND:USW00023160,19460719,91,-9999,-9999,-9999,-9999,339,206,-9999
GHCND:USW00023160,19460720,30,-9999,-9999,-9999,-9999,383,233,-9999
GHCND:USW00023160,19460721,3,-9999,-9999,-9999,-9999,372,228,-9999
GHCND:USW00023160,19460722,28,-9999,-9999,-9999,-9999,350,222,-9999
GHCND:USW00023160,19460723,38,-9999,-9999,-9999,-9999,350,228,-9999
GHCND:USW00023160,19460724,0,-9999,-9999,-9999,-9999,361,217,-9999
GHCND:USW00023160,19460725,0,-9999,-9999,-9999,-9999,372,222,-9999
GHCND:USW00023160,19460726,0,-9999,-9999,-9999,-9999,389,228,-9999
GHCND:USW00023160,19460727,5,-9999,-9999,-9999,-9999,367,222,-9999
GHCND:USW00023160,19460728,0,-9999,-9999,-9999,-9999,367,222,-9999
